config,method,n_seeds,fuel_mean,fuel_std,gap_mean,gap_std,vsr_mean,vsr_std,vr_mean,vr_std
keq_high,MPC,0,17.329435274353692,0.0,19.352726136730894,0.0,1.0,0.0,0.10504201680672269,0.0
keq_high,PPO-Lag,5,21.22729882977896,10.046081609079547,22.430299696681054,12.809617010477556,0.6588235294117647,0.33637596365872463,0.1288697017268446,0.07209992518969588
keq_low,TD3,5,3.7458488428787207,0.148619687505873,34.02038145932602,1.6501672302064585,0.6235294117647059,0.052613364176465637,0.004753246753246753,0.001872112945692716
keq_low,SAC,5,3.880331194897773,0.2636709137013949,35.18655047558701,0.9494570656429633,0.5764705882352941,0.04921529567847503,0.0014978354978354977,0.0011299908342713644
keq_low,PA-CSAC,5,5.479459823776398,1.2213371968041122,21.138627789729593,3.2160680782096756,0.9176470588235294,0.12197906678428069,0.025262605042016807,0.015601568653828918
keq_low,DDPG,5,5.946574304178188,4.931596293187239,29.565680851120014,8.42008551875272,0.5882352941176471,0.04159451654038516,0.03233477633477634,0.06533474432083318
keq_low,IDM,0,9.253825724439801,0.0,14.67740292520165,0.0,1.0,0.0,0.04201680672268908,0.0
keq_low,ACC,0,12.04761951395902,0.0,16.202852035478163,0.0,1.0,0.0,0.07142857142857142,0.0
keq_low,LQR,0,13.794237716021314,0.0,20.02765579394015,0.0,1.0,0.0,0.08739495798319329,0.0
keq_low,PPO,5,13.954159934715946,0.8668308775556451,17.034587298303762,0.7724744734037517,0.6941176470588235,0.09665692191267634,0.14622100122100123,0.01366291637041231
keq_low,MPC,0,15.045372918569006,0.0,19.352726136730894,0.0,1.0,0.0,0.10504201680672269,0.0
keq_low,PPO-Lag,5,16.743160946491724,5.252725569564563,22.430299696681054,12.809617010477556,0.6588235294117647,0.33637596365872463,0.1288697017268446,0.07209992518969588
